iso3,country,year,fdi_gdp,gdp_usd,merch_export_wb,official_fx,population,reer
BRN,Brunei Darussalam,2010,3.50710078835613,13707121038.4383,8907000000.0,1.36350947368421,392332.0,
BRN,Brunei Darussalam,2011,3.73105568458092,18524791062.657,12465000000.0,1.25791302014692,399389.0,
BRN,Brunei Darussalam,2012,4.54055753809902,19048443340.7732,13001000000.0,1.24956701649958,405557.0,
BRN,Brunei Darussalam,2013,4.28670084809197,18094148098.6536,11447000000.0,1.25116566976059,411202.0,
BRN,Brunei Darussalam,2014,3.35660901155102,17097797386.0336,10509000000.0,1.2670401230814,416750.0,
BRN,Brunei Darussalam,2015,1.32471179544033,12930296870.1247,6353000000.0,1.37491084459887,422212.0,
BRN,Brunei Darussalam,2016,-1.32059047324396,11400266044.6651,4875000000.0,1.38134687688286,427564.0,
BRN,Brunei Darussalam,2017,3.85818821585897,12128168045.1245,5571000000.0,1.38089116405281,432772.0,
BRN,Brunei Darussalam,2018,3.80486552830842,13566908391.0895,6574000000.0,1.34891856542537,437810.0,
BRN,Brunei Darussalam,2019,2.77118007919324,13469235364.7032,7039000000.0,1.36421851405475,442680.0,
BRN,Brunei Darussalam,2020,4.71057565284031,12005799653.9835,6608000000.0,1.37970342971399,447404.0,
BRN,Brunei Darussalam,2021,1.47404982867232,14006496617.4458,11058000000.0,1.34380696297339,451721.0,
BRN,Brunei Darussalam,2022,-1.73946797718401,16681536466.7183,14230000000.0,1.37895639652216,455370.0,
BRN,Brunei Darussalam,2023,-0.37050451622702,15095084656.1634,11241000000.0,1.34307960114934,458949.0,
BRN,Brunei Darussalam,2024,0.189449066349964,15340808592.48,11258000000.0,1.33603327650724,462721.0,
BRN,Brunei Darussalam,2025,0.411162483586338,15031980994.1121,10498000000.0,1.307595108858,466330.0,
IDN,Indonesia,2010,2.02517914569356,755094157621.936,157779000000.0,9090.43333333333,246305322.0,
IDN,Indonesia,2011,2.30298429381592,892969104563.171,203497000000.0,8770.43333333333,249470032.0,
IDN,Indonesia,2012,2.30978031853073,917869913332.649,190032000000.0,9386.62916666667,252698525.0,
IDN,Indonesia,2013,2.55135633401058,912524136718.018,182552000000.0,10461.24,255852467.0,
IDN,Indonesia,2014,2.81997260412102,890814755533.537,176293000000.0,11865.2112962963,258877399.0,
IDN,Indonesia,2015,2.29761639380441,860854232686.214,150366000000.0,13389.4129365079,261799249.0,
IDN,Indonesia,2016,0.487372471368879,931877364037.698,144490000000.0,13308.3268020542,264627418.0,
IDN,Indonesia,2017,2.01948919812582,1015618744159.73,168811000000.0,13380.8338788891,267346658.0,
IDN,Indonesia,2018,1.81428979349441,1042271532988.63,180124000000.0,14236.9387734818,269951846.0,
IDN,Indonesia,2019,2.23336204282241,1119099871350.2,167683000000.0,14147.6713605454,272489381.0,
IDN,Indonesia,2020,1.81058402027127,1059054842698.48,163306000000.0,14582.2034678177,274814866.0,
IDN,Indonesia,2021,1.7878556314554,1186509691086.73,231506000000.0,14308.1439011897,276758053.0,
IDN,Indonesia,2022,1.87264100861425,1319101183380.15,291979000000.0,14849.8539362105,278830529.0,
IDN,Indonesia,2023,1.57116966408747,1371166925749.88,258857000000.0,15236.8846620506,281190067.0,
IDN,Indonesia,2024,1.73855290316368,1396301788461.69,264706000000.0,15855.4482866711,283487931.0,
IDN,Indonesia,2025,1.54140671670434,1445642584163.81,282909000000.0,16477.8651797836,285721236.0,
KHM,Cambodia,2010,10.169807189939,13808673288.0696,5143000000.0,4184.91666666667,14500726.0,
KHM,Cambodia,2011,9.59845134883877,16032622023.8265,6704000000.0,4058.5,14722584.0,
KHM,Cambodia,2012,11.1524912445112,17826536699.8016,7838000000.0,4033.0,14945085.0,
KHM,Cambodia,2013,10.4430587644193,19807135252.8649,6666000000.0,4027.25,15170208.0,
KHM,Cambodia,2014,8.40902020300656,22041463967.9009,6846000000.0,4037.5,15396772.0,
KHM,Cambodia,2015,7.54029662001984,24174170369.0738,8542000000.0,4067.75,15623251.0,
KHM,Cambodia,2016,9.32318507305764,26556545153.3573,10069000000.0,4058.69457885305,15852803.0,
KHM,Cambodia,2017,9.49760203098743,29355665909.7905,11278000000.0,4050.5799859191,16073372.0,
KHM,Cambodia,2018,9.69240300027112,33145892168.8958,12700000000.0,4051.16690028162,16274522.0,
KHM,Cambodia,2019,9.98500044202808,36685356407.7206,14825000000.0,4061.14896313364,16481304.0,
KHM,Cambodia,2020,10.410239809326,34818073901.4851,17716000000.0,4092.78321900878,16725474.0,
KHM,Cambodia,2021,9.4684591111041,36790163687.4421,19307000000.0,4098.72279505888,16974305.0,
KHM,Cambodia,2022,8.94830125779534,39994532959.6074,22472000000.0,4102.03786482335,17201724.0,
KHM,Cambodia,2023,9.35096701989758,42335646895.7984,23186000000.0,4110.65274641577,17423880.0,
KHM,Cambodia,2024,9.48089832015712,46352647037.2406,26661000000.0,4072.39723921642,17638801.0,
KHM,Cambodia,2025,9.94609689113059,51267065842.9641,31274000000.0,4013.43310400666,17847982.0,
LAO,Lao PDR,2010,3.90935018167503,7131771014.70456,1746000000.0,8254.16302973342,6334194.0,
LAO,Lao PDR,2011,3.43702755895922,8750104617.17303,2190000000.0,8029.2625550619,6426590.0,
LAO,Lao PDR,2012,6.06067602678934,10192846339.4029,2271000000.0,8006.58203188054,6518978.0,
LAO,Lao PDR,2013,5.68624628337024,11983252626.5452,2264000000.0,7833.22998982965,6611385.0,
LAO,Lao PDR,2014,6.53385086120159,13279245886.3854,2662000000.0,8042.42157002354,6703172.0,
LAO,Lao PDR,2015,7.47075777292731,14426380125.6488,3653000000.0,8127.61059846586,6801645.0,
LAO,Lao PDR,2016,5.87774436155716,15912501722.6143,4245000000.0,8124.36675616228,6908802.0,
LAO,Lao PDR,2017,9.87799160512334,17071155481.4994,4873000000.0,8244.84318921019,7018147.0,
LAO,Lao PDR,2018,7.4856486219066,18141641089.7963,5408000000.0,8401.33476613966,7128045.0,
LAO,Lao PDR,2019,4.03149139231071,18740561512.5555,5806000000.0,8679.40909309671,7237636.0,
LAO,Lao PDR,2020,5.09807193491087,18981805250.2424,6115000000.0,9045.78783382479,7346533.0,
LAO,Lao PDR,2021,5.69344695957329,18827148530.9347,7695000000.0,9697.91578947368,7453194.0,
LAO,Lao PDR,2022,4.69509225789707,15468785203.7532,8198000000.0,14035.2266926511,7559007.0,
LAO,Lao PDR,2023,11.2425630959408,15843155731.2552,8370000000.0,17688.8735909054,7664993.0,
LAO,Lao PDR,2024,5.98958863567394,16502933121.3379,9386000000.0,20167.3313803145,7769819.0,
LAO,Lao PDR,2025,,18302970218.5902,12377000000.0,,7873046.0,
MMR,Myanmar,2010,1.81897202342465,49540813342.4834,8661000000.0,5.63488333333333,49024382.0,
MMR,Myanmar,2011,4.20127651183029,59977326085.9908,9238000000.0,5.44410833333334,49419820.0,
MMR,Myanmar,2012,2.22540068514517,59937796648.2158,8877000000.0,640.653416666667,49837446.0,
MMR,Myanmar,2013,3.74085607932619,60269732854.827,11233000000.0,933.570456356879,50262658.0,
MMR,Myanmar,2014,3.31904421407388,65531374199.6663,11453000000.0,984.345747560046,50681634.0,
MMR,Myanmar,2015,6.85124098710894,59607290407.6191,11429000000.0,1162.61532862554,51089056.0,
MMR,Myanmar,2016,5.17880132517466,63298361996.2153,11831000000.0,1234.86951666667,51495696.0,
MMR,Myanmar,2017,7.27335555212816,66053040483.0016,13879000000.0,1360.35870704085,51894938.0,
MMR,Myanmar,2018,2.60563229851106,67860515989.517,16614000000.0,1429.80797520107,52272247.0,
MMR,Myanmar,2019,2.31211211194364,75065106227.6892,17997000000.0,1518.25511666667,52640713.0,
MMR,Myanmar,2020,2.41393222885654,79006113643.1906,16692000000.0,1381.61916666667,53016522.0,
MMR,Myanmar,2021,3.11492561696787,66345291160.1683,15154000000.0,,53387102.0,
MMR,Myanmar,2022,1.98946076080719,62253049891.6449,17085000000.0,,53756787.0,
MMR,Myanmar,2023,2.27715131661601,66757619000.0,14753000000.0,,54133798.0,
MMR,Myanmar,2024,1.47879223317634,74068349523.8095,14924000000.0,,54500091.0,
MMR,Myanmar,2025,,81665773809.5238,15298000000.0,,54850648.0,
MYS,Malaysia,2010,4.26864663854031,255017638455.59,198612000000.0,3.22108691472175,28655776.0,100.0
MYS,Malaysia,2011,5.07446032143377,297951668674.835,228086000000.0,3.06000301052058,29162039.0,99.937321493972
MYS,Malaysia,2012,2.82905738174529,314443047642.111,227538000000.0,3.08880086662188,29662831.0,99.6471474510842
MYS,Malaysia,2013,3.49431175959971,323276235524.415,228331000000.0,3.15090855009724,30174265.0,99.0621548005978
MYS,Malaysia,2014,3.14122940365348,338066095097.254,233927000000.0,3.27285974643047,30696137.0,97.9306111605156
MYS,Malaysia,2015,3.27094402931735,301355266964.947,199952000000.0,3.90550026302768,31232798.0,89.3872569279287
MYS,Malaysia,2016,4.47130958598651,301256033870.334,189743000000.0,4.14830066287879,31789685.0,86.387952757225
MYS,Malaysia,2017,2.9358203805856,319109094160.343,218130000000.0,4.30044087761124,32355644.0,84.982915692761
MYS,Malaysia,2018,2.31458721219734,358788845712.53,247455000000.0,4.03513013706806,32910967.0,88.474346316969
