"Reporter","Year","Period","Flow","Partner","Commodity","Trade Value (US$)"
"Viet Nam","2003","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","6348241.7674"
"Thailand","2017","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","48640534.6927847"
"Thailand","2021","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","62834018.1539"
"Viet Nam","2008","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","910551.68"
"Viet Nam","2019","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","7753852.8979"
"Viet Nam","2015","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","4455170.936"
"Viet Nam","2023","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","5093045.64"
"Viet Nam","2022","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","2526265.33"
"Brunei Darussalam","2017","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","1062009.36121338"
"Brunei Darussalam","2017","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","49333.7587233306"
"Viet Nam","2025","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","22758501.31"
"Brunei Darussalam","2006","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","706731.76"
"Viet Nam","2010","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","2515900.1969"
"Brunei Darussalam","2010","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","271770.002196033"
"Brunei Darussalam","2006","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","9690.49"
"Indonesia","2015","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","92438118"
"Indonesia","2014","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","15501810"
"Indonesia","2009","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","11629251"
"Indonesia","2017","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","10303973.991"
"Indonesia","2022","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","98098923"
"Cambodia","2003","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","269.54"
"Indonesia","2025","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","8690860.7869"
"Indonesia","2025","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","100990387.1869"
"Indonesia","2023","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","138276692"
"Brunei Darussalam","2025","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","1431458.09544769"
"Cambodia","2018","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","1355001.6"
"Cambodia","2024","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","7067680.72"
"Myanmar","2003","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","2170019"
"Myanmar","2005","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","457375"
"Cambodia","2023","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","3405610.65"
"Indonesia","2023","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","6401692.087"
"Indonesia","2024","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","124280818"
"Cambodia","2021","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","1537670.27"
"Cambodia","2011","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","580334.326969885"
"Indonesia","2019","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","8474731.292"
"Indonesia","2020","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","8905386.679"
"Cambodia","2008","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","287975.559010817"
"Cambodia","2013","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","31723.5884276799"
"Myanmar","2014","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","547843.05"
"Malaysia","2003","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","12323150.94"
"Malaysia","2013","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","17950361.8493381"
"Malaysia","2006","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","7392952.75"
"Cambodia","2022","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","3651138.91"
"Malaysia","2021","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","31728572.4315863"
"Philippines","2005","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","3886236"
"Philippines","2007","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","8146431"
"Malaysia","2014","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","16074987.5684556"
"Philippines","2011","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","5668276"
"Philippines","2017","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","24534316"
"Philippines","2016","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","17644453"
"Malaysia","2019","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","36884925.3931799"
"Philippines","2022","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","31035522"
"Philippines","2007","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","7652883"
"Singapore","2014","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","40355413.0072826"
"Singapore","2005","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","27359136.7295446"
"Singapore","2021","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","17323465.4355086"
"Singapore","2017","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","62530824.4824772"
"Singapore","2016","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","28613796.632287"
"Philippines","2025","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","17547122"
"Singapore","2024","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","16327701.1149937"
"Singapore","2023","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","13222802.7132209"
"Thailand","2025","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","87162329.8811"
"Thailand","2013","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","10938270.85155"
"Thailand","2003","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","9620235.16"
"Thailand","2004","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","12278453.44"
"Thailand","2022","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","85301469.6427"
"Thailand","2008","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","8535166.18"
"Viet Nam","2006","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","896151.13"
"Thailand","2021","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","53786026.039"
"Thailand","2006","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","8454911.79"
"Viet Nam","2009","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","18985913.1227"
"Viet Nam","2011","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","610619.62"
"Viet Nam","2007","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","8118924.98"
"Thailand","2020","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","60937342.1252"
"Viet Nam","2007","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","912424.29"
"Thailand","2023","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","79216926.6297"
"Viet Nam","2024","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","11889454.7489"
"Viet Nam","2024","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","9556942.44"
"Viet Nam","2025","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","14497610.5062"
"Viet Nam","2021","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","1643816.86"
"Viet Nam","2014","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","20967565.7376"
"Viet Nam","2014","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","1015910.2087"
"Brunei Darussalam","2008","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","24266.7674546454"
"Brunei Darussalam","2015","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","33640.3472589053"
"Viet Nam","2022","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","3763858.0725"
"Brunei Darussalam","2023","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","2047542.12287734"
"Brunei Darussalam","2005","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","1992015.81"
"Brunei Darussalam","2016","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","1896993.92025198"
"Indonesia","2010","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","90940194"
"Brunei Darussalam","2020","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","716979.226854523"
"Indonesia","2014","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","114942861"
"Indonesia","2011","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","121540723"
"Brunei Darussalam","2025","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","37043.1469096788"
"Indonesia","2003","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","11940673"
"Indonesia","2016","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","81308279"
"Malaysia","2010","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","12680213.8275763"
"Myanmar","2025","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","231235.93"
"Malaysia","2007","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","21258093"
"Malaysia","2017","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","21891981.8736029"
"Malaysia","2017","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","14147074.8946075"
"Malaysia","2016","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","13382748.0146664"
"Malaysia","2024","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","55349967.147677"
"Malaysia","2004","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","4678781.29"
"Malaysia","2023","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","22740655.7730722"
"Philippines","2015","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","18752695"
"Philippines","2005","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","6079005"
"Philippines","2012","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","27739480"
"Philippines","2020","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","20102856"
"Philippines","2021","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","28211469"
"Philippines","2011","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","16152376"
"Philippines","2013","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","15913275"
"Singapore","2003","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","22811562.3923775"
"Singapore","2008","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","32271950.0989539"
"Singapore","2011","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","49060560.9115116"
"Singapore","2006","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","25983648.4360249"
"Singapore","2005","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","30952471.4646161"
"Philippines","2023","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","34324448"
"Philippines","2023","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","68402521"
"Singapore","2018","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","23203974.227143"
"Thailand","2006","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","29707307.62"
"Thailand","2007","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","8712775"
"Thailand","2011","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","10578213.7344527"
"Thailand","2012","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","54737886.34603"
"Thailand","2019","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","11052063.843885"
"Thailand","2024","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","55857746.5436"
"Viet Nam","2003","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","877163.1451"
"Viet Nam","2016","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","11504276.1876"
"Viet Nam","2010","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","10148024.5935"
"Viet Nam","2011","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","1090956.6125"
"Viet Nam","2013","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","1903638.6344"
"Viet Nam","2013","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","16551656.8304"
"Viet Nam","2012","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","1432339.2292"
"Viet Nam","2009","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","2881752.745"
"Brunei Darussalam","2003","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","931544.33"
"Viet Nam","2023","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","2575297.4248"
"Viet Nam","2018","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","6390800.8651"
"Brunei Darussalam","2010","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","1364410.13968091"
"Brunei Darussalam","2004","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","1533473.28"
"Brunei Darussalam","2021","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","1167665.20124291"
"Indonesia","2004","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","5157130"
"Indonesia","2007","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","33175215"
"Indonesia","2011","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","14347090"
"Cambodia","2020","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","1459443.33"
"Cambodia","2020","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","805143.18"
"Cambodia","2017","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","1103832.09"
"Cambodia","2016","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","718309.75292"
"Cambodia","2008","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","1535.32593835217"
"Cambodia","2018","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","118559.08"
"Cambodia","2019","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","671014.77"
"Myanmar","2018","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","1032072.75"
"Cambodia","2023","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","3446622.32"
"Myanmar","2013","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","5071731.51"
"Myanmar","2013","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","2445.36"
"Myanmar","2023","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","440396.1"
"Myanmar","2012","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","169547.28"
"Malaysia","2004","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","14439192.91"
"Malaysia","2007","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","9884690"
"Myanmar","2020","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","210441.34"
"Malaysia","2014","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","21633851.1671672"
"Malaysia","2015","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","16360001.4700062"
"Malaysia","2005","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","5620139.22"
"Malaysia","2018","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","13938165.7837924"
"Malaysia","2024","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","28059061.3377304"
"Philippines","2008","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","4560167"
"Philippines","2013","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","43828787"
"Philippines","2016","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","27144462"
"Philippines","2022","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","29626670"
"Singapore","2003","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","36784486.8556997"
"Singapore","2008","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","36066523.8903025"
"Singapore","2013","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","46482428.1874543"
"Philippines","2025","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","37440402"
"Philippines","2019","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","24526558"
"Singapore","2014","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","34680173.8209033"
"Singapore","2013","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","32758315.9044845"
"Philippines","2003","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","2640522"
"Singapore","2022","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","13949105.4247321"
"Singapore","2025","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","45521478.4607987"
"Singapore","2012","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","43572952.9968049"
"Thailand","2004","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","14426794.58"
"Thailand","2009","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","32785194"
"Thailand","2014","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","46969227.24954"
"Thailand","2014","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","10267458.25427"
"Thailand","2025","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","65703015.4757"
"Thailand","2015","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","51445315.24976"
"Thailand","2022","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","56905745.7994"
"Thailand","2017","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","11341076.3630733"
"Thailand","2024","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","90400476.5823"
"Viet Nam","2004","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","7923677.9542"
"Viet Nam","2018","Annually","Export"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","2418601.1325"
"Viet Nam","2020","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","3670183.6835"
"Viet Nam","2005","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","6731121.3825"
"Brunei Darussalam","2009","Annually","Import"," WORLD [99]","[36] Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations","2022167.04103343"
