"Reporter","Year","Period","Flow","Partner","Commodity","Trade Value (US$)"
"Thailand","2023","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","81772108.1402"
"Singapore","2007","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","28597622.5864243"
"Viet Nam","2004","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","5939774.0625"
"Thailand","2019","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","59792847.5536696"
"Thailand","2020","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","53839967.608"
"Viet Nam","2009","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","5777581.5271"
"Thailand","2011","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","51594132.9603793"
"Thailand","2024","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","61042990.6814"
"Thailand","2025","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","77755877.778"
"Viet Nam","2012","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","146087338.9027"
"Viet Nam","2017","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","37375981.4563"
"Viet Nam","2022","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","117620081.1256"
"Viet Nam","2014","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","333594870.2107"
"Viet Nam","2014","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","22025748.2086"
"Brunei Darussalam","2003","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","121217.362"
"Brunei Darussalam","2014","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","744928.347525416"
"Viet Nam","2024","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","115533643.1238"
"Brunei Darussalam","2012","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","6898.91819394237"
"Brunei Darussalam","2024","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","179.298902869181"
"Brunei Darussalam","2025","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","1264.06570391254"
"Indonesia","2003","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","6504851"
"Brunei Darussalam","2014","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","1609.010458"
"Brunei Darussalam","2015","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","17455.5976663866"
"Cambodia","2003","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","27434.15"
"Cambodia","2004","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","24029.42"
"Indonesia","2022","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","37522917.326"
"Cambodia","2011","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","9988.04711296409"
"Cambodia","2005","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","24168.05"
"Cambodia","2005","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","574.05"
"Cambodia","2007","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","1449.75"
"Cambodia","2013","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","198550.890503975"
"Indonesia","2011","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","45796545"
"Cambodia","2020","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","1899.42"
"Indonesia","2015","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","18454397.808"
"Myanmar","2018","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","42024750.1384"
"Myanmar","2020","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","11254754.27979"
"Malaysia","2003","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","9848878.87"
"Malaysia","2007","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","6150645"
"Myanmar","2008","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","2142377.76"
"Myanmar","2009","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","1555019.48"
"Malaysia","2012","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","14536800.6573821"
"Malaysia","2004","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","6923833.15"
"Malaysia","2014","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","7642213.61164153"
"Malaysia","2015","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","22854902.2123238"
"Philippines","2005","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","3687697"
"Philippines","2010","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","15075183"
"Malaysia","2024","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","7541746.36305791"
"Philippines","2011","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","3997425"
"Philippines","2024","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","49734948"
"Philippines","2013","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","7480600"
"Philippines","2014","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","26555757"
"Philippines","2004","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","4700544"
"Singapore","2005","Annually","Import"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","36281458.0079298"
"Philippines","2019","Annually","Export"," WORLD [99]","[05] Animal originated products; not elsewhere specified or included","2113224"
