exporter_iso3,year,partners_reported,total_trade_usd,reporter_year_complete,status
THA,2019,23,204891188499.319,1,REPORTED
THA,2020,23,193821340844.793,1,REPORTED
THA,2021,23,231412631257.292,1,REPORTED
THA,2022,23,243769210598.701,1,REPORTED
THA,2023,23,240444544045.45697,1,REPORTED
THA,2024,23,253423841598.05695,1,REPORTED
VNM,2010,23,57814412763.0,1,REPORTED
VNM,2011,23,77741821766.0,1,REPORTED
VNM,2012,23,94082789653.0,1,REPORTED
VNM,2013,23,107395616901.0,1,REPORTED
VNM,2014,23,120626570233.0,1,REPORTED
VNM,2015,23,131723125339.0,1,REPORTED
VNM,2016,23,145649636540.61,1,REPORTED
VNM,2017,23,176732021157.59998,1,REPORTED
VNM,2018,23,203140782269.96,1,REPORTED
VNM,2019,23,221046364568.78998,1,REPORTED
VNM,2020,23,241050899892.94904,1,REPORTED
VNM,2021,23,284904955956.253,1,REPORTED
VNM,2022,23,319099870686.051,1,REPORTED
VNM,2023,23,302656153431.109,1,REPORTED
VNM,2024,0,0.0,0,UNREPORTED_BY_COMTRADE
