iso3,country,year,export_usd,lsci,gdp_usd,population,fdi_gdp,reer,official_fx,clmv,asean6,covid,ln_export,ln_lsci,ln_gdp,ln_population,ln_lsci_lag1,data_complete,export_usd_agri,export_usd_mfg,ln_export_agri,ln_export_mfg,lsci_lag1,fx_growth,lsci_quarters,lsci_partial_year
BRN,Brunei Darussalam,2010,8837178813.241764,24.5336,13707121038.4383,392332.0,3.50710078835613,,1.36350947368421,0,1,0,22.902233523886792,3.200043606572865,23.341181318567283,12.879863699097841,,1,3389265.8129249737,8820334799.898878,15.036123881542606,22.90032566541689,,,4,0
BRN,Brunei Darussalam,2011,12440507595.3181,25.7899275,18524791062.657,399389.0,3.73105568458092,,1.25791302014692,0,1,0,23.24422372690717,3.249984008722183,23.64237572939597,12.897691158272615,3.200043606572865,1,4689348.996285756,12421869819.168892,15.360804324025812,23.24272445116779,24.5336,-0.07744460568503997,4,0
BRN,Brunei Darussalam,2012,13180600609.03823,24.5981925,19048443340.7732,405557.0,4.54055753809902,,1.24956701649958,0,1,0,23.30201193471226,3.2026729646290963,23.67025122078521,12.913016709859948,3.249984008722183,1,6186886.999985688,13155908791.207312,15.637942610241872,23.300136832382613,25.7899275,-0.006634801861232997,4,0
BRN,Brunei Darussalam,2013,11445574182.876856,23.945785,18094148098.6536,411202.0,4.28670084809197,,1.25116566976059,0,1,0,23.16086895797648,3.1757923167193076,23.618854413475766,12.926839856924493,3.2026729646290963,1,18431548.19177712,11409504940.147083,16.729574330012458,23.15771261163607,24.5981925,0.0012793657642213851,4,0
BRN,Brunei Darussalam,2014,10584141313.884563,24.717975,17097797386.0336,416750.0,3.35660901155102,,1.2670401230814,0,1,0,23.082622615321913,3.2075307117583423,23.56221548432429,12.940241800613041,3.1757923167193076,1,41566578.64514935,10527834316.882809,17.54280700438126,23.077288474027387,23.945785,0.012687730893261806,4,0
BRN,Brunei Darussalam,2015,6353924085.1138,23.9243725,12930296870.1247,422212.0,1.32471179544033,,1.37491084459887,0,1,0,22.572338425148203,3.17489770919987,23.282838989259698,12.953262836540999,3.2075307117583423,1,7191681.479095254,6338506904.591186,15.788435565929156,22.569909073652422,24.717975,0.08513599494792001,4,0
BRN,Brunei Darussalam,2016,6024104731.302824,25.9671675,11400266044.6651,427564.0,-1.32059047324396,,1.38134687688286,0,1,0,22.519034712967315,3.256832951570729,23.156902529325876,12.965859263756226,3.17489770919987,1,11781231.99164003,6001572597.489355,16.282018314050333,22.51528737141393,23.9243725,0.004681054272917429,4,0
BRN,Brunei Darussalam,2017,5588261657.761331,23.2490425,12128168045.1245,432772.0,3.85818821585897,,1.38089116405281,0,1,0,22.443934102184265,3.146263948389632,23.218796521713866,12.977966309412354,3.256832951570729,1,11071148.332603095,5566448794.492269,16.219853033053997,22.440023128221107,25.9671675,-0.0003299047021978474,4,0
BRN,Brunei Darussalam,2018,6571371351.590254,18.785685,13566908391.0895,437810.0,3.80486552830842,,1.34891856542537,0,1,0,22.60598837697558,2.9330951436259296,23.330899458093146,12.989540305290165,3.146263948389632,1,13508701.35309978,6548756350.620864,16.418844580453012,22.602540998431735,23.2490425,-0.023153597806798265,4,0
BRN,Brunei Darussalam,2019,7039084880.490754,22.4263325,13469235364.7032,442680.0,2.77118007919324,,1.36421851405475,0,1,0,22.67474401010046,3.1102358264693994,23.32367405995961,13.00060244037872,2.9330951436259296,1,10727365.046068924,7022174771.319633,16.188308515584012,22.672338803491385,18.785685,0.0113423812389708,4,0
