exporter_iso3,importer_iso3,year,trade_usd,source_flag
BRN,AUS,2022,2932198016.889,UNComtrade
BRN,MMR,2022,54475385.095,UNComtrade
BRN,KHM,2022,17717738.052,UNComtrade
BRN,CAN,2022,3718455.159,UNComtrade
BRN,CHN,2022,2214079250.99,UNComtrade
BRN,DEU,2022,3678668.521,UNComtrade
BRN,HKG,2022,13412970.541,UNComtrade
BRN,IDN,2022,674584534.164,UNComtrade
BRN,ITA,2022,2893468.669,UNComtrade
BRN,JPN,2022,2472368382.937,UNComtrade
BRN,KOR,2022,250785247.531,UNComtrade
BRN,LAO,2022,191.739,UNComtrade
BRN,MYS,2022,1440538291.778,UNComtrade
BRN,TWN,2022,21721633.113,UNComtrade
BRN,NLD,2022,2716203.529,UNComtrade
BRN,PHL,2022,426912668.477,UNComtrade
BRN,IND,2022,298853934.141,UNComtrade
BRN,SGP,2022,1928360832.729,UNComtrade
BRN,VNM,2022,580278082.648,UNComtrade
BRN,THA,2022,465899091.572,UNComtrade
BRN,ARE,2022,824375.462,UNComtrade
BRN,GBR,2022,23403094.63,UNComtrade
BRN,USA,2022,128596541.362,UNComtrade
BRN,AUS,2023,2429017736.528,UNComtrade
BRN,MMR,2023,4306663.892,UNComtrade
BRN,KHM,2023,12041228.881,UNComtrade
BRN,CAN,2023,1890031.754,UNComtrade
BRN,CHN,2023,1876594268.177,UNComtrade
BRN,DEU,2023,2012469.909,UNComtrade
BRN,HKG,2023,40757699.278,UNComtrade
BRN,IDN,2023,330903436.527,UNComtrade
BRN,ITA,2023,1274658.324,UNComtrade
BRN,JPN,2023,1562749390.687,UNComtrade
BRN,KOR,2023,301279937.659,UNComtrade
BRN,LAO,2023,39.462,UNComtrade
BRN,MYS,2023,768113970.399,UNComtrade
BRN,TWN,2023,189694378.29,UNComtrade
BRN,PHL,2023,258240424.015,UNComtrade
BRN,IND,2023,174310964.995,UNComtrade
BRN,SGP,2023,1918655824.698,UNComtrade
BRN,VNM,2023,174186148.709,UNComtrade
BRN,THA,2023,549082787.595,UNComtrade
BRN,ARE,2023,3265956.316,UNComtrade
BRN,GBR,2023,22393752.639,UNComtrade
BRN,USA,2023,99088620.919,UNComtrade
BRN,AUS,2024,2226358419.451,UNComtrade
BRN,MMR,2024,7219953.577,UNComtrade
BRN,KHM,2024,27038126.816,UNComtrade
BRN,CAN,2024,2342610.957,UNComtrade
BRN,CHN,2024,2048373487.144,UNComtrade
BRN,DEU,2024,4408028.531,UNComtrade
